"transaction_id","store","status","transaction_date","plan","contract_type","amount"
"22d353a8","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"9a3eb197","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"591621cc","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"b9ded34b","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"977d2fe9","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"7cb5ddbe","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"2c7571f0","Boston","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"e3b3c705","Boston","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"706a4a6a","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"ebb278d3","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"0c96ba5a","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"3472af88","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"b3b669b8","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"2db2a62b","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"87c71edf","Boston","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"7636c84d","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"f158f957","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"d0ea83fc","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"78d1bea2","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"42c0e22c","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"db581ac4","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"171d4c92","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"6f96b936","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"2cb07fa5","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"c6bdefb2","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"3d676592","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"b3ffd8e3","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"63a6e473","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"d9356239","Washington DC","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"9e36db64","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"2e671c99","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"3c6f38ce","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"42d89bab","Chicago","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"3df4bf69","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"6902b5f3","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"96c5971c","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"1548249b","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"7add1538","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Gold","NEW","19.35"
"d4465b29","San Francisco","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
"b84fe1f7","Boston","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"f0bfaa25","New York","ACTIVE","Fri 02 01 2019 12:00:00 AM","Silver","NEW","14.25"
"3931185e","Las Vegas","ACTIVE","Fri 02 01 2019 12:00:00 AM","Bronze","NEW","12.2"
